t_sample.id	active	t_post.id	title	content	post_date	post_url	nb_views	author_id	country_id	parent_id	source_id	topic_ref	supplier_id	supplier_code	import_date	auto_qualif_date	nb_auto_qualifs	category_id	import_file_id	manual_import_source	manual_import_author	rejected	t_category.name	t_category_type.name
552	1	456568	Petit conseil pneu sable	regarde la hauteur de tes flancs, et favorise les plus haut. AMHA. pour l'histoire de la pression baissée.Le KM2 est loin d'être ridicule au Marquenterre. Il s'est même mieux comporté que du TA/KO.	06-juin-13	http://www.forum4x4.org/threads/128373#post_2319412	0	39991	1		80	416175	416226	BOL	12-juin-13	12-juin-13	1	51	80			0	Auto specialized forums	Forums
552	1	456571	Petit conseil pneu sable	Bonjour,Je dois allé au parc du marquenterre ce week-end et j'hésite entre mettre les km2 ou prendre les pneus routes ? Plusieurs personne m'ont dit les pneux routes	05-juin-13	http://www.forum4x4.org/threads/128373#post_2318640	0	64837	1		80	416175	416229	BOL	12-juin-13	12-juin-13	1	51	80			0	Auto specialized forums	Forums
552	1	456511	Pneu Toyo Tires, qu'est-ce que ça vaut ?	LE 350 c'est clairement de la merde, j'en avais eu un fois j'ai vite viré ça  	02-juin-13	http://www.forum-auto.com/pole-technique/equipement-automobile/sujet393950.htm#para14884086	0	1708	1		82	397872	416508	BOL	12-juin-13		0	51	80			0	Auto specialized forums	Forums
552	1	456656	[TOPIC UNIQUE] Changement de pneu ( Taille, Prix, perf... )	J'ai des primacy á l'arriere. J'ai testé les dunlop sp sport = une daubeJ'ai mis du falken = aucune différence.	02-juin-13	http://www.renault-laguna.com/forum/quels-sont-les-meilleurs-pneus-t5556-180.html#p282656	0	304	1		94	148004	416955	BOL	12-juin-13	12-juin-13	3	51	80			0	Auto specialized forums	Forums
552	1	456661	Bruits de roulement sur les pneus arrière	Hankook Ventus Prime 2 K115._________________ Kuga 1 Titanium - 2.0l - 136cv - BM6.	02-juin-13	http://www.forum-kuga.com/viewtopic.php?t=1119&postdays=0&postorder=asc&highlight=pneus&start=210&sid=04da292a6d01785dc43ebaa76796679c	0	603	1		120	981	417044	BOL	12-juin-13	12-juin-13	1	51	80			0	Auto specialized forums	Forums
552	1	456660	Bruits de roulement sur les pneus arrière	Ha tiens je viens d'en commander 2 en 16 pour ma remorque  Tu nous diras ce que tu en penses ?   Sur la remorque j'avais des Ventus Prime K110, avec 30Mkm au compteur environ._________________Kuga I TDCi  Titanium Beige Ténéré 03/2009, 64Mkm 	02-juin-13	http://www.forum-kuga.com/viewtopic.php?t=1119&postdays=0&postorder=asc&highlight=pneus&start=210&sid=04da292a6d01785dc43ebaa76796679c	0	2827	1		120	981	417043	BOL	12-juin-13	12-juin-13	1	51	80			0	Auto specialized forums	Forums
552	1	456496	Quels pneus utilisez-vous sur votre SAAB ?	bon, le temps presse car je pars en vacances ce vendredi au Cap d'Ail et 2000 kms A/R + les balades là-bas, mes pneus actuels n'auraient pas survécu (au temoin d'usure pas plus). Donc ce sera les HANKOOK qui prendront place à l'avant. Je vous dirais à mon retour ce que j'en pense...  	03-juin-13	http://forum.saabsportclub.com/saab/Renseignementsetsolutionsmultimodeles/Pneumatiques/utilisez-pneus-saab-sujet_6077_54.htm#para135796	0	119004	1		101	143063	416838	BOL	12-juin-13	12-juin-13	1	51	80			0	Auto specialized forums	Forums
552	1	456624	Essai General Tire Grabber AT sur 8 mois	 Envoyé par Jo49Ce n'est pas une sur-pression mais une sous-pression...les préco NIssan sont de 2.8 devant constant et 3.5 derrière à vide et 4.5 à pleine charge (1T) mais pour du 205R16CAvec 2.8 devant et 3.8 derrière (450kg permanent de charge) j'ai fait 75.000 avec les bridge AT en usure homogène et 1 seule permutation (très peu de diff d'usure avant arrière).Une géo est prévue semaine prochaine. Je devrais dégonfler selon toi? Je trouve déjà que le flanc s'ébouse beaucoup De toute façon je vais surveiller la pression très régulièrement les première semaines et ajuster celles ci selon mon ressenti Ok   juste une chose    ton vehicule est declaré VUL   et donc les pressions sont celle d'un VUL en situation de charge et demi-chargeL'usure d'un pneu en bord de bande roulement  si c'est suelement en ext   cela ne peut pas venir de la pressionA vide   lors du montage des Hankook sur un parc de ton PU pour des stations de skie dans les Pyrénées (que je surveille depuis 6 ans)on travaille sur une base de pression de 2.4 avt et 2.8 ar     et RAS	05-juin-13	http://www.forum4x4.org/threads/107668/page28#post_2318610	0	937	1		80	155	417521	BOL	12-juin-13	12-juin-13	2	51	80			0	Auto specialized forums	Forums
552	1	456701	[RS3] Question pneus	Salut,Je profite de ce topic pour poser une question concernant des pneus semis-slicks.Quelles sont vos impressions sur les FEDERAL Racing ou les MARANGONI????J'ai l'intention de monter un pack circuit avec l'une de ces deux marques. Raison ou tort????Je sais que les TOYO R888 sont bons, mais y a-t-il une autre monte possible qui soit fiable et performante????   _________________recherche BAR arrière et amortos Viarouge circuit.	07-juin-13	http://www.cliors-concept.com/t45646-question-pneus.htm	0	119593	1		116	396685	417817	BOL	12-juin-13	12-juin-13	3	51	80			0	Auto specialized forums	Forums
552	1	456614	Pneu Michelin 4x4 Latitude Cross Essai Longue Durée	 Envoyé par tyronPour moi le michelin LC est un 20% chemin/80%route là ou le BFG all terran est plutôt 50/50 donc les comparer me parez pas très juste après si ces deux pneus ont le même comportement routier (j'en doute mais bon j'ai jamais essayer) le bfg s'en sortira mieux en tt.Je n'ai pas parlé d'usage en tout terrain, simplement dans les ronds point, Herbe et sur neige ou le BFG devrait être pourtant en dessous ce qui n'est pas le cas	02-juin-13	http://www.forum4x4.org/threads/101343/page8#post_2317063	0	3970	1		80	157	417372	BOL	12-juin-13	12-juin-13	2	51	80			0	Auto specialized forums	Forums
552	1	456559	Grand bilan de longévité de vos pneus	Véhicule : Fiat panda 100HPTransmission : TractionMonture : Joue avec 2 montures du 195/45/15 78V pour l'été et du 185/55/14 80T pour l'hiver.Conduite : ultra sportive (route et track day)J'ai fait 20 000 Km avec les pneus hiver Semperit Master Grip en 185/55/14 80T changé quand il restait 4 mm de gomme car le comportement devenais moins mordant sur la neige (manque de traction). Les 4 pneus on fait 10 000 km à l'avant et arrière. Je les ai permuté tous les 5000 Km. Je roule avec du début novembre à fin avril.J'ai fait 30 000 Km avec les pneus été Goodyear Eagle F1 GS-D3 en 195/45/15 78V changé quand il restait 2,5mm de gomme car il manquait de grip sous la pluie. Les 4 pneus on fait 15 000 km à l'avant et à l'arrière. Je les permutait tous les 5000 km Je roule avec de fin avril à début novembre.	03-juin-13	http://www.forum-auto.com/pole-technique/equipement-automobile/sujet377903-175.htm#para14884219	0	100113	1		82	126329	417413	BOL	12-juin-13	12-juin-13	2	51	80			0	Auto specialized forums	Forums
552	1	456545	EuroAllSeason AS200 : le premier pneu toutes saisons de Falken  Nouvea	.Apparemment le même dessin que l'EuroWinter HS-439 ?...Message édité par MichelP75 le 05-06-2013 à 13:08:45 	05-juin-13	http://www.forum-auto.com/pole-technique/equipement-automobile/sujet399862.htm#para14884296	0	107729	1		82	416398	416789	BOL	12-juin-13	12-juin-13	2	51	80			0	Auto specialized forums	Forums
552	1	456501	Quels pneus utilisez-vous sur votre SAAB ?	Retour expérience pour TOYO T1 S 17.000kms et 6000kmsLa voiture est très silencieuse, l'usure a facette des anciens pneus n'est plus présente.En conduite soft c'est performant mais comme sur toute viggen on ne va pas parler de motricité.Les pneus arrières qui accusent  17.000kms sont pas ou peu usés. Je les ai acheté chez TOOPNEUS ( le moins cher ds mes tailles et très efficace)  	04-juin-13	http://forum.saabsportclub.com/saab/Renseignementsetsolutionsmultimodeles/Pneumatiques/utilisez-pneus-saab-sujet_6077_54.htm#para135797	0	119577	1		101	143063	416843	BOL	12-juin-13	12-juin-13	1	51	80			0	Auto specialized forums	Forums
552	1	456663	Bruits de roulement sur les pneus arrière	Vu que les Hankook sont en première monte sur les BMW, Mercedes et sur le nouveau Kuga, je suis plutôt zen _________________ Kuga 1 Titanium - 2.0l - 136cv - BM6.	03-juin-13	http://www.forum-kuga.com/viewtopic.php?t=1119&postdays=0&postorder=asc&highlight=pneus&start=220&sid=04da292a6d01785dc43ebaa76796679c	0	603	1		120	981	417154	BOL	12-juin-13	12-juin-13	1	51	80			0	Auto specialized forums	Forums
552	1	456547	EuroAllSeason AS200 : le premier pneu toutes saisons de Falken  Nouvea	PublicitéEuroAllSeason AS200 : le premier pneu toutes saisons de FalkenRéputé pour ses pneus sportifs, Falken s’attaque au marché du pneu toutes saisons. Le manufacturier dit avoir travaillé l’équilibre des performances pour offrir un pneu au comportement fiable sur chaussées sèche, humide et enneigée tout en optimisant le bruit de roulement et la longévité. L’EuroAllSeason AS200 bénéficie des labels hivernaux M+S et 3PMSF. Il sera commercialisé à partir de juillet 2013 dans 27 dimensions.Avec l’EuroAllSeason AS200, Falken s’attaque au marché du pneu toutes saisons, encore peu développé en Europe, mais qui pourrait se réveiller dans un contexte de baisse du pouvoir d’achat. Adapté aux diverses conditions météo que l’on peut rencontrer dans les zones tempérées, le pneu toutes saisons permet en effet d’éviter l’achat de deux trains de pneus. Un argument de poids pour un consommateur qui cherche à réduire ses dépenses. Encore faut-il que le compromis de performances soit équilibré.L’EuroAllSeason AS200 est le premier pneu toutes saisons lancé par Falken. Selon le manufacturier, il a été « spécialement développé pour répondre aux exigences complexes du marché européen ». Il offrirait un comportement fiable sur tous les types de chaussées : sèche, humide et enneigée tout en optimisant le bruit de roulement et la longévité.Sécurité par tous les tempsPour limiter le risque d’aquaplaning, quatre rainures longitudinales, larges et profondes, assistées par des rainures latérales, permettent d’évacuer l’eau de surface rapidement. La maniabilité sur routes mouillées est assurée par le nouveau composé de caoutchouc, fortement dosé en silice et en styrène.Le flanc de l'AS200 porte le label M+S conformément à la réglementation européenne ainsi que le flocon de neige sur fond de montagne (3PMSF) qui garantit une bonne traction en conditions hivernales.Confort sonoreLe travail sur le composé de caoutchouc et sur la sculpture de la bande de roulement a permis de limiter le bruit de roulement (73 dB annoncés, selon les critères de l’étiquetage).LongévitéPour augmenter la longévité kilométrique, l'AS200 contient un agent antivieillissement à diffusion lente, qui protège la bande de roulement des facteurs de détérioration (variations de température, UV…) tout au long de la vie du pneu .DisponibilitéLe pneu Falken EuroAllSeason AS200 sera disponible chez les revendeurs de pneumatiques spécialisés à partir de juillet 2013 dans 27 dimensions de 14 à 17 pouces.Message édité par MichelP75 le 05-06-2013 à 13:10:12 	04-juin-13	http://www.forum-auto.com/pole-technique/equipement-automobile/sujet399862.htm#para14884258	0	107729	1		82	416398	416791	BOL	12-juin-13	12-juin-13	2	51	80			0	Auto specialized forums	Forums
